t,ex0,to0,cg0,ex1,to1,cg1,ex2,to2,cg2
1.0,-0.14928471487424155,-0.03785255319031536,-0.11071137092778316,-0.11410395577094512,-0.09339866336329347,-0.09505584424499447,-0.07041325893468078,-0.13071370970850654,-0.07347435588217932
1.01,-0.15941442976193432,-0.039305773715345375,-0.11837740155823223,-0.12129135994219087,-0.09881697143708365,-0.1015008856365257,-0.07415382137365246,-0.13923381166625648,-0.0782713083580623
1.02,-0.16930507506725245,-0.04058423113027661,-0.12589056656256203,-0.1282217648961197,-0.103967380591512,-0.1077964578314905,-0.07765798961929544,-0.147491279963137,-0.08292471658198221
1.03,-0.17895493512877114,-0.0416953446089227,-0.13325065349518533,-0.13489700472558752,-0.10885341407784044,-0.11394315905400232,-0.08093095818485439,-0.15548557301106536,-0.08743565932434441
1.04,-0.18836252540905873,-0.042646355539437186,-0.14045754713363062,-0.14131267462252414,-0.11347867065977581,-0.11994168287288137,-0.08397794294092274,-0.16321641400593312,-0.09180563845022427
1.05,-0.19752659249467763,-0.04344445714155119,-0.14751122947854128,-0.1474575427793686,-0.11784682461346994,-0.12579281820165455,-0.08680418111544282,-0.17068379092760544,-0.09603615973296999
1.06,-0.2064461140961843,-0.04409679446657344,-0.15441177975367576,-0.1533349829983968,-0.1219616257275196,-0.13149744929855545,-0.08941493129370567,-0.17788795653992118,-0.10012873285420268
1.07,-0.21512029904812846,-0.044610464397390234,-0.16115937440590833,-0.15894889680283475,-0.12582689930296645,-0.13705632492515088,-0.09181547341835128,-0.18482942839069294,-0.10408487140381635
1.08,-0.22354858730905325,-0.044992515648465486,-0.16775428710522844,-0.1643031897160308,-0.12944654615329712,-0.14246578837969126,-0.09401110878936829,-0.1915009799480726,-0.10790609287997789
1.09,-0.23173064996149662,-0.04524994876584068,-0.17419688874474015,-0.16940177126145559,-0.13282454260444318,-0.1477247679586079,-0.09600716006409431,-0.19789570165265963,-0.11159391868912703
1.1,-0.2396663892119889,-0.04538971612713492,-0.18048764744066348,-0.17424855496270214,-0.13596494049478114,-0.15283398202411616,-0.09780897125721565,-0.2040164824001281,-0.11514987414597647
1.11,-0.2473559383910554,-0.04541872194154487,-0.1866251817639303,-0.17884745834348587,-0.13887186717513242,-0.15779417562378925,-0.09942190774076742,-0.2098662586955964,-0.11857548847351171
1.12,-0.2547996619532139,-0.04534382224984482,-0.1926057621231714,-0.18320240292764442,-0.14154952550876343,-0.16260612049055817,-0.1008513562441337,-0.21544800539914272,-0.12187229480299121
1.1300000000000001,-0.261998155476977,-0.04517182492438663,-0.19842937451846027,-0.1873173142391379,-0.1440021938713855,-0.1672706150427118,-0.10210272485404716,-0.22076473572580488,-0.12504183017394627
1.1400000000000001,-0.2689522456648501,-0.044909489669099745,-0.20409616954997323,-0.19119612180204867,-0.1462342261511549,-0.1717884843838968,-0.10318144301458945,-0.22581950124558056,-0.12808563553418106
1.1500000000000001,-0.2756579763965267,-0.04456352801949122,-0.20960633962980696,-0.19484275914058152,-0.14825005174867284,-0.17616058030311763,-0.104092961527191,-0.23061539188342717,-0.13100525573977273
1.16,-0.2821052573447174,-0.044140603342645725,-0.21496011898197845,-0.19826116377906344,-0.15005417557698542,-0.18038778127473654,-0.10484275255063095,-0.23515553591926175,-0.13380223955507115
