t,n2,n4,n10,n20,f2,f4,f10,f20
1.3900000000000001,0.08599916977291726,0.01568056361422915,7.905195948706907e-05,1.614743677015923e-06,0.0688065591279315,0.01647226243524758,0.00021409951426369544,2.7332482440545862e-06
1.4000000000000001,0.08799056074237244,0.016172833059565052,8.34837911314806e-05,1.8321031421525826e-06,0.07030230209387259,0.01707337699146215,0.0002316654513987525,3.1772912128994778e-06
1.41,0.09000675028672254,0.016673891916430497,8.846614674340155e-05,2.0748114936789245e-06,0.07181956617269954,0.017691913805367315,0.00025053194981904234,3.6895180401285946e-06
1.42,0.09204762101108853,0.017183669455971183,9.413603790515747e-05,2.345217191801504e-06,0.07335850508664729,0.01832824887766054,0.0002707850400660274,4.279800296357524e-06
1.43,0.094113048337134,0.01770208582990916,0.00010065276253704552,2.645792553211457e-06,0.07491927255795072,0.01898276358034173,0.0002925157745428531,4.959353426143257e-06
1.44,0.09620290056102669,0.018229051887376658,0.00010819707823102156,2.9791251843301767e-06,0.07650202230884474,0.019655844694807644,0.0003158204821682269,5.740908254154224e-06
1.45,0.09831703891410853,0.018764468992660512,0.0001169693582168229,3.3479065761260786e-06,0.07810690806156424,0.020347884449946202,0.00034080103401976504,6.638902940150216e-06
1.46,0.1004553176261942,0.019308228843811125,0.0001271870520285403,3.7549178252414895e-06,0.07973408353834409,0.021059280560230837,0.00036756512035921243,7.669697651836384e-06
1.47,0.10261758399143124,0.019860213292068527,0.00013908196355573834,4.203012647483021e-06,0.08138370246141924,0.021790436263814852,0.00039622653944306786,8.85181445794978e-06
1.48,0.104803678436655,0.02042029416204608,0.00015289791806030598,4.695098191843832e-06,0.08305591855302454,0.022541760360625742,0.0004269054985335128,1.0206205199344062e-05
1.49,0.1070134345921605,0.020988333072608834,0.00016888928887154203,5.234114580641103e-06,0.08475088553539492,0.023313667250459556,0.00045972892753614567,1.1756550375278481e-05
1.5,0.10924667936482237,0.021564181258364637,0.00018732063650701034,5.8230148067407715e-06,0.08646875713076528,0.02410657697107523,0.0004948308057028687,1.3529592387664435e-05
1.51,0.11150323301349704,0.022147679391700297,0.0002084674663856773,6.464747517424563e-06,0.0882096870613705,0.024920915236288935,0.0005323525018503676,1.5555506819911576e-05
1.52,0.11378290922662672,0.022738657405255998,0.0002326179203516524,7.1622465450243145e-06,0.08997382904944551,0.025757113474068425,0.0005724431285569585,1.7868315791655906e-05
1.53,0.11608551520198387,0.023336934314751145,0.000260075123813683,7.918432845608993e-06,0.09176133681722516,0.026615608864627365,0.0006152599108131731,2.0506347828640514e-05
1.54,0.11841085172848217,0.023942318042051432,0.0002911599085534877,8.736236978908042e-06,0.0935723640869444,0.027496844378519698,0.0006609685696142945,2.3512749121151268e-05
1.55,0.12075871326997911,0.024554605238362004,0.0003262136873821934,9.618653627311713e-06,0.0954070645808381,0.028401268814733968,0.0007097437209961631,2.693605151769439e-05
