t,eto0,ecg0,eto1,ecg1,eto2,ecg2
1.9799999999999999822,0.22040251502327437572,0.020621233985770603264,0.057599455377657635124,0.090818402671982698116,0.099161143868333259666,0.091214242283283952784
1.9899999999999999911,0.21752164980698521224,0.021836231158570640343,0.05681633395595582503,0.091131424591955126346,0.097241240634371062246,0.09058158103480332124
2.0,0.21466788857773225208,0.023032043351096893186,0.056037202823346815572,0.091422461486477826775,0.095342531022590160106,0.0899425422712323841
2.010000000000000231,0.21184097715456881583,0.02420907424467026725,0.055262161440188646566,0.09169189764596588632,0.09346496549243281382,0.08929739813682406602
2.0200000000000000178,0.20904065139739533286,0.025367744780553452832,0.05449127055932476843,0.091940130850264603635,0.091608500923387764514,0.088646399067119865944
2.0300000000000002487,0.20626664110552644926,0.026508489993917715155,0.053724551519071177264,0.092167577314537424416,0.08977364728525838444,0.08799032411109762586
2.0400000000000000355,0.20351867409459098446,0.027631755693837793675,0.052961985735083420834,0.0923746696345682794,0.08796116282981870926,0.08733017920459322514
2.0499999999999998224,0.20079648044216846792,0.028737994993702067892,0.052203514392691011126,0.09256102618319836384,0.08617141337143843782,0.08666655963954364439
2.0600000000000000533,0.19809979689293769067,0.029827664701147602044,0.051449038341168554234,0.09272656615228155874,0.08440474358385370579,0.086000024943458319715
2.0699999999999998401,0.19542837971285356713,0.030901221580273540573,0.05069841819124507043,0.09287180370316677758,0.08266147347407912238,0.085331098631506521746
2.080000000000000071,0.19278277914922686831,0.03195843003967929752,0.04995147461697017205,0.09299724961726420214,0.080941895051496542957,0.0846602681155741027
2.0899999999999998579,0.19016457583754969862,0.032998000074967406836,0.04920798886288958035,0.09310341308882782996,0.0792462691961063892,0.08398798476756184905
2.1000000000000000888,0.18757385744072782585,0.034020139234492471902,0.048467703457368421782,0.09319080347167117695,0.07757482273097826564,0.08331466413421402539
2.1099999999999998757,0.1850106588251941575,0.03502510274868578244,0.047731216019583473653,0.09325993197417210834,0.07592774570494398301,0.0826406863007108361
2.1200000000000001066,0.18247502751324351511,0.03601136097393164981,0.04699982156917199838,0.09331131329702142818,0.074305188892488660546,0.08196639640013840544
2.1299999999999998934,0.17996701955404748041,0.03697816793603183466,0.04627394586481416161,0.09334546720824994648,0.072707261518606014494,0.08129210526577587692
2.1400000000000001243,0.17748669557263635488,0.0379257514522445896,0.045553954052227785265,0.09336292005013115125,0.07113402921704314874,0.08061809022292290572
2.1499999999999999112,0.17503411699856208372,0.038854315566552583006,0.044840151596370989018,0.093364206172601743594,0.06958551223085771009,0.07994459601673956084
2.1600000000000001421,0.17260934247610940084,0.039764043345671809537,0.044132782437128079134,0.0933498692878731301,0.06806168386449458485,0.079271835872298787584
2.169999999999999929,0.17021242445809856014,0.040655099635432220828,0.04343202744982611191,0.093320463740924966545,0.06656246919665435857,0.078599992682767266805
2.1800000000000001599,0.16784340598549041257,0.041527633761009714874,0.042738003215725080264,0.09327655569057891061,0.06508774406302250681,0.07792922032134379229
2.1899999999999999467,0.16550231765517753324,0.042381782157525395294,0.042050761107029183128,0.0932187241958521845,0.06363733431745437208,0.0772596450723103817
