 x	 y	 z	 xc	 yc
1.9330 0.7514 1.2364 1.3554 0.4124
1.9347 0.7591 1.2423 1.3555 0.4194
1.9339 0.7645 1.2515 1.3529 0.4239
1.9326 0.7569 1.2669 1.3493 0.4149
1.9365 0.7640 1.2679 1.3519 0.4216
1.9402 0.7679 1.2897 1.3529 0.4238
1.9510 0.7726 1.2904 1.3624 0.4281
1.9541 0.7695 1.2968 1.3638 0.4242
1.9487 0.7601 1.2812 1.3579 0.4152
1.9514 0.7549 1.2847 1.3590 0.4094
1.9469 0.7511 1.2845 1.3531 0.4051
1.9389 0.7433 1.2835 1.3438 0.3970
1.9436 0.7428 1.2917 1.3466 0.3956
1.9501 0.7370 1.2940 1.3516 0.3892
1.9566 0.7360 1.2958 1.3567 0.3877
1.9543 0.7323 1.2944 1.3530 0.3837
1.9636 0.7373 1.2962 1.3609 0.3882
1.9609 0.7328 1.3143 1.3557 0.3822
1.9655 0.7342 1.3202 1.3587 0.3828
1.9654 0.7421 1.3137 1.3576 0.3907
1.9648 0.7393 1.3152 1.3556 0.3874
1.9725 0.7381 1.3412 1.3603 0.3842
1.9790 0.7431 1.3265 1.3663 0.3897
1.9831 0.7493 1.3354 1.3685 0.3950
1.9880 0.7520 1.3252 1.3727 0.3979
1.9822 0.7488 1.3189 1.3659 0.3946
1.9764 0.7383 1.3054 1.3594 0.3845
1.9794 0.7292 1.3004 1.3612 0.3752
1.9765 0.7257 1.3061 1.3566 0.3709
1.9733 0.7221 1.2981 1.3526 0.3674
