 t	 a	 b	 c	 d
5.1072 0.9976 0.3457 0.9859 0.6615
5.1272 0.9977 0.2955 0.9848 0.6253
5.1471 0.9978 0.2445 0.9837 0.5886
5.1670 0.9979 0.1928 0.9827 0.5515
5.1870 0.9980 0.1407 0.9816 0.5143
5.2069 0.9980 0.0882 0.9805 0.4771
5.2269 0.9981 0.0354 0.9794 0.4402
5.2469 0.9981 -0.0173 0.9782 0.4037
5.2668 0.9982 -0.0700 0.9769 0.3678
5.2867 0.9983 -0.1224 0.9756 0.3329
5.3067 0.9984 -0.1743 0.9742 0.2991
5.3266 0.9984 -0.2257 0.9730 0.2667
5.3466 0.9986 -0.2763 0.9718 0.2359
5.3665 0.9987 -0.3261 0.9708 0.2070
5.3865 0.9988 -0.3748 0.9700 0.1801
5.4064 0.9990 -0.4224 0.9696 0.1554
5.4264 0.9992 -0.4688 0.9696 0.1330
5.4463 0.9993 -0.5137 0.9699 0.1130
5.4663 0.9995 -0.5570 0.9708 0.0956
5.4863 0.9996 -0.5987 0.9720 0.0808
5.5062 0.9998 -0.6386 0.9738 0.0686
5.5261 0.9999 -0.6766 0.9760 0.0592
5.5461 0.9999 -0.7125 0.9785 0.0526
5.5660 1.0000 -0.7463 0.9812 0.0489
5.5860 0.9999 -0.7778 0.9842 0.0481
5.6059 0.9998 -0.8071 0.9872 0.0504
5.6259 0.9997 -0.8339 0.9901 0.0556
5.6459 0.9995 -0.8582 0.9928 0.0638
5.6658 0.9993 -0.8800 0.9952 0.0750
5.6857 0.9990 -0.8992 0.9971 0.0889
5.7057 0.9986 -0.9157 0.9986 0.1055
5.7256 0.9983 -0.9295 0.9994 0.1246
5.7456 0.9979 -0.9406 0.9996 0.1461
5.7655 0.9976 -0.9488 0.9991 0.1699
5.7855 0.9972 -0.9543 0.9980 0.1957
5.8054 0.9969 -0.9568 0.9964 0.2236
5.8254 0.9966 -0.9566 0.9942 0.2533
5.8453 0.9963 -0.9534 0.9916 0.2848
5.8653 0.9961 -0.9475 0.9887 0.3177
5.8852 0.9960 -0.9387 0.9856 0.3520
5.9052 0.9959 -0.9271 0.9825 0.3874
5.9252 0.9959 -0.9128 0.9795 0.4237
5.9451 0.9959 -0.8958 0.9767 0.4607
5.9650 0.9960 -0.8761 0.9742 0.4980
5.9850 0.9962 -0.8538 0.9721 0.5354
6.0049 0.9964 -0.8290 0.9704 0.5726
6.0249 0.9966 -0.8017 0.9692 0.6096
6.0448 0.9969 -0.7721 0.9685 0.6460
6.0648 0.9972 -0.7401 0.9683 0.6816
6.0847 0.9975 -0.7059 0.9686 0.7164
6.1047 0.9977 -0.6695 0.9692 0.7499
6.1246 0.9980 -0.6312 0.9702 0.7821
6.1446 0.9983 -0.5910 0.9714 0.8128
6.1646 0.9985 -0.5490 0.9729 0.8417
6.1845 0.9987 -0.5053 0.9744 0.8686
6.2044 0.9989 -0.4601 0.9759 0.8933
6.2244 0.9990 -0.4136 0.9775 0.9157
6.2443 0.9991 -0.3657 0.9790 0.9355
6.2643 0.9992 -0.3168 0.9804 0.9529
6.2843 0.9993 -0.2668 0.9817 0.9675
6.3042 0.9993 -0.2160 0.9830 0.9794
6.3241 0.9994 -0.1645 0.9841 0.9885
6.3441 0.9994 -0.1124 0.9853 0.9949
6.3641 0.9995 -0.0600 0.9864 0.9984
6.3840 0.9995 -0.0073 0.9875 0.9990
6.4039 0.9996 0.0455 0.9887 0.9967
6.4239 0.9996 0.0981 0.9899 0.9915
6.4438 0.9997 0.1506 0.9912 0.9834
6.4638 0.9997 0.2026 0.9925 0.9724
6.4837 0.9997 0.2542 0.9938 0.9586
6.5037 0.9997 0.3050 0.9951 0.9420
6.5236 0.9997 0.3550 0.9963 0.9229
6.5436 0.9997 0.4041 0.9974 0.9013
6.5636 0.9996 0.4520 0.9983 0.8774
6.5835 0.9995 0.4987 0.9989 0.8513
6.6034 0.9994 0.5441 0.9991 0.8233
6.6234 0.9992 0.5879 0.9988 0.7934
6.6433 0.9990 0.6301 0.9981 0.7618
6.6633 0.9987 0.6705 0.9968 0.7287
6.6832 0.9984 0.7090 0.9951 0.6943
6.7032 0.9981 0.7455 0.9928 0.6588
6.7232 0.9978 0.7799 0.9901 0.6225
6.7431 0.9974 0.8121 0.9869 0.5855
6.7630 0.9970 0.8420 0.9835 0.5481
6.7830 0.9967 0.8695 0.9798 0.5106
6.8029 0.9964 0.8946 0.9761 0.4733
6.8229 0.9961 0.9171 0.9725 0.4364
6.8428 0.9958 0.9371 0.9690 0.4001
6.8628 0.9957 0.9543 0.9659 0.3646
6.8827 0.9955 0.9689 0.9632 0.3300
6.9027 0.9955 0.9807 0.9612 0.2967
6.9226 0.9955 0.9897 0.9597 0.2646
6.9426 0.9956 0.9959 0.9590 0.2341
6.9626 0.9957 0.9992 0.9589 0.2053
6.9825 0.9959 0.9997 0.9596 0.1784
7.0024 0.9962 0.9974 0.9610 0.1536
7.0224 0.9965 0.9922 0.9630 0.1312
7.0423 0.9968 0.9842 0.9655 0.1112
7.0623 0.9972 0.9735 0.9685 0.0939
7.0823 0.9975 0.9600 0.9717 0.0793
7.1022 0.9979 0.9437 0.9751 0.0675
7.1221 0.9983 0.9248 0.9786 0.0586
7.1421 0.9986 0.9033 0.9820 0.0524
7.1621 0.9989 0.8792 0.9852 0.0492
7.1820 0.9991 0.8526 0.9882 0.0488
7.2019 0.9993 0.8236 0.9908 0.0512
7.2219 0.9995 0.7922 0.9930 0.0566
7.2418 0.9996 0.7586 0.9948 0.0648
7.2618 0.9996 0.7229 0.9961 0.0758
7.2817 0.9997 0.6851 0.9971 0.0897
7.3017 0.9997 0.6454 0.9977 0.1064
7.3216 0.9996 0.6039 0.9980 0.1257
7.3416 0.9996 0.5607 0.9979 0.1475
7.3616 0.9995 0.5159 0.9977 0.1717
7.3815 0.9995 0.4697 0.9973 0.1980
7.4014 0.9994 0.4222 0.9968 0.2264
7.4214 0.9993 0.3735 0.9962 0.2564
7.4413 0.9992 0.3238 0.9956 0.2881
7.4613 0.9991 0.2732 0.9948 0.3212
7.4812 0.9991 0.2218 0.9941 0.3554
