 i	 j	 a	 b	 c	 d	 e	
15.0000 14.0000 0.0000 0.0002 0.0000 0.0000 0.0000
0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 15.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 15.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 15.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 15.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 15.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 15.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 15.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 15.0000 0.0000 -0.0032 -0.0001 -0.0014 -0.0018
9.0000 15.0000 0.0000 0.0002 0.0000 0.0000 0.0000
10.0000 15.0000 0.0000 0.0008 0.0000 0.0000 0.0001
11.0000 15.0000 0.0000 0.0002 0.0000 0.0000 0.0000
12.0000 15.0000 0.0000 0.0003 0.0000 0.0000 0.0000
13.0000 15.0000 0.0000 0.0014 0.0000 0.0000 0.0001
14.0000 15.0000 0.0000 0.0002 0.0000 0.0000 0.0000
15.0000 15.0000 0.0000 0.0006 0.0000 0.0000 0.0000
