t,e0,e1,e2,e3,e4,b0,b1,b2,b3,b4
5.87,1.6827772472141974e-11,7.115246345359096e-12,3.5005888835596313e-12,7.560509361579392e-14,6.380195685677489e-15,0.9816153109309029,0.9113949520255891,0.8306407585777744,0.3954268800211964,0.156362417443296
5.88,1.6160722139466266e-11,6.826710720828897e-12,3.3561461648045912e-12,7.219602208927718e-14,6.170288078847556e-15,0.9815842813610648,0.9112509118647392,0.8303782243743674,0.39480237732359597,0.15586891714036136
5.89,1.552012448968925e-11,6.54989052305168e-12,3.217639327538817e-12,6.893897261436744e-14,5.993325388389862e-15,0.9815532527720938,0.9111068944685183,0.8301157731481165,0.3941788609110434,0.155376974389126
5.9,1.490493022303406e-11,6.284309052055262e-12,3.0848252006020235e-12,6.582571613346209e-14,5.820983997195892e-15,0.981522225163959,0.9109628998333286,0.8298534048727958,0.3935563292258862,0.15488658427375246
5.91,1.4314131675932829e-11,6.029509141195743e-12,2.9574706414867867e-12,6.285286550131343e-14,5.6641042950301636e-15,0.9814911985366293,0.9108189279555728,0.8295911195221878,0.392934780712932,0.15439774189391825
5.92,1.3746761164899845e-11,5.785052347020864e-12,2.835352163827799e-12,6.001404194846421e-14,5.547256818117548e-15,0.9814601728900737,0.9106749788316543,0.8293289170700829,0.3923142138194443,0.15391044236476698
5.93,1.3201889396692441e-11,5.550518171381506e-12,2.718255517585543e-12,5.72983149464934e-14,5.409496016564465e-15,0.9814291482242612,0.9105310524579769,0.8290667974902802,0.3916946269951391,0.15342468081685945
5.94,1.2678623942215391e-11,5.325503314959345e-12,2.605975286151577e-12,5.470701393399839e-14,5.276800104629365e-15,0.9813981245391609,0.9103871488309453,0.8288047607565867,0.39107601869218056,0.15294045239612508
5.95,1.2176107771319027e-11,5.109620961781921e-12,2.4983145264828116e-12,5.22316048432702e-14,5.175082189134719e-15,0.9813671018347416,0.9102432679469643,0.8285428068428181,0.3904583873651776,0.15245775226381342
5.96,1.16935178464187e-11,4.90250009343171e-12,2.3950843663097665e-12,4.98685102953849e-14,5.0753404414497055e-15,0.9813360801109725,0.9100994098024395,0.828280935722798,0.3898417314711797,0.1519765755964457
5.97,1.1230063772286851e-11,4.70378483226186e-12,2.2961036784765504e-12,4.760835053568898e-14,4.995927584876025e-15,0.9813050593678225,0.9099555743937773,0.8280191473703584,0.389226049469673,0.15149691758576664
5.98,1.078498649986223e-11,4.5131338118964594e-12,2.2011987959526376e-12,4.5457518790868223e-14,4.919540114317625e-15,0.9812740396052607,0.9098117617173842,0.8277574417593396,0.38861133982257673,0.15101877343869655
5.99,1.035755708187882e-11,4.330219576300718e-12,2.1102031353715034e-12,4.339775296262583e-14,4.87741683686135e-15,0.981243020823256,0.9096679717696677,0.8274958188635902,0.3879976009942393,0.15054213837728325
6.0,9.947075478221419e-12,4.154728001612716e-12,2.0229568914810057e-12,4.1432846079251174e-14,4.823507133689042e-15,0.9812120030217774,0.9095242045470355,0.8272342786569672,0.3873848314514342,0.15006700763865446
6.01,9.552869408998758e-12,3.9863577452624344e-12,1.9393068136388826e-12,3.95540140791239e-14,4.7575357669472996e-15,0.9811809862007939,0.9093804600458962,0.8269728211133354,0.3867730296633566,0.1495933764749701
6.0200000000000005,9.174293253404773e-12,3.824819718061398e-12,1.8591058905852752e-12,3.775555752309662e-14,4.719155454017761e-15,0.9811499703602746,0.9092367382626587,0.8267114462065682,0.386162194101619,0.14912124015337483
6.03,8.810726992516874e-12,3.6698365785327774e-12,1.7822130647169029e-12,3.6051094242505763e-14,4.69180581711952e-15,0.9811189555001885,0.9090930391937327,0.8264501539105473,0.38555232324024796,0.14865059395595104
6.04,8.461575194253543e-12,3.5211422492911137e-12,1.708493070684658e-12,3.4419139780864396e-14,4.737879145845842e-15,0.9810879416205044,0.9089493628355283,0.8261889441991624,0.38494341555567996,0.14818143317967125
6.05,8.126266038786396e-12,3.3784814540867815e-12,1.637816085585815e-12,3.2858369561312975e-14,4.800073140383169e-15,0.9810569287211915,0.9088057091844561,0.8259278170463119,0.38433546952675757,0.14771375313635154
6.0600000000000005,7.804250382770318e-12,3.2416092746655144e-12,1.5700575980339715e-12,3.136768122226799e-14,4.781418635664995e-15,0.9810259168022188,0.9086620782369275,0.8256667724259019,0.3837284836347257,0.14724754915260432
6.07,7.495000860821827e-12,3.110290726556091e-12,1.505098082875501e-12,2.994896511829253e-14,4.747697556444475e-15,0.9809949058635553,0.9085184699893544,0.8254058103118471,0.3831224563632282,0.14678281656979206
6.08,7.198011022740147e-12,2.9843003528440436e-12,1.4428229167913443e-12,2.85873011765794e-14,4.727119487228587e-15,0.9809638959051701,0.908374884438149,0.8251449306780705,0.3825173861983033,0.1463195507439803
