t,e0,e1,e2,b0,b1,b2
0.021300000000000003,5.219313661814774e-09,1.3045688237203668e-07,5.216946214501908e-07,3.6297656620723698e-06,9.074414155180924e-05,0.00036297656620723696
0.0216,5.364144783352304e-09,1.3407618296829385e-07,5.361642632607355e-07,3.7327326308635508e-06,9.33183157715888e-05,0.0003732732630863552
0.0219,5.510832810370254e-09,1.377418452185948e-07,5.5081903890641e-07,3.8371396971203434e-06,9.59284924280086e-05,0.0003837139697120344
0.022199999999999998,5.659371385002609e-09,1.4145370803399182e-07,5.656582961736636e-07,3.9429868608427465e-06,9.857467152106869e-05,0.00039429868608427474
0.0225,5.8097540242780196e-09,1.4521160882100505e-07,5.806813765161331e-07,4.0502741220307625e-06,0.00010125685305076907,0.0004050274122030763
0.022799999999999997,5.961974290871623e-09,1.490153834730106e-07,5.958876151432832e-07,4.159001480684388e-06,0.00010397503701710971,0.00041590014806843883
0.0231,6.116025541498781e-09,1.5286486629958314e-07,6.112763411003902e-07,4.269168936803625e-06,0.00010672922342009064,0.00042691689368036257
0.0234,6.271901206675376e-09,1.5675989005619882e-07,6.268468772540156e-07,4.380776490388473e-06,0.00010951941225971183,0.00043807764903884734
0.0237,6.429594607370771e-09,1.6070028611847763e-07,6.425985404008214e-07,4.493824141438931e-06,0.00011234560353597328,0.00044938241414389313
0.024,6.589098946843044e-09,1.64685884298639e-07,6.585306413884709e-07,4.608311889955001e-06,0.00011520779724887503,0.0004608311889955001
0.0243,6.750407524474584e-09,1.6871651293366543e-07,6.746424850279925e-07,4.7242397359366815e-06,0.00011810599339841706,0.0004724239735936682
0.0246,6.913513425051455e-09,1.7279199894301641e-07,6.909333702745052e-07,4.8416076793839735e-06,0.00012104019198459935,0.0004841607679383974
0.024900000000000002,7.07840972798027e-09,1.7691216772040566e-07,7.074025902003353e-07,4.960415720296875e-06,0.0001240103930074219,0.0004960415720296876
0.0252,7.245089471642751e-09,1.8107684332783514e-07,7.240494321128369e-07,5.080663858675389e-06,0.00012701659646688473,0.0005080663858675389
0.025500000000000002,7.413545609148994e-09,1.85285848342347e-07,7.408731776745847e-07,5.202352094519514e-06,0.00013005880236298785,0.0005202352094519514
0.0258,7.583771077136205e-09,1.8953900394664712e-07,7.578731027499183e-07,5.325480427829249e-06,0.00013313701069573124,0.000532548042782925
0.0261,7.755758777533036e-09,1.938361300124799e-07,7.750484777275552e-07,5.450048858604595e-06,0.00013625122146511488,0.0005450048858604595
0.026399999999999996,7.929501458078338e-09,1.9817704496266402e-07,7.923985673730558e-07,5.57605738684555e-06,0.00013940143467113878,0.0005576057386845551
0.026699999999999998,8.104991907262516e-09,2.025615659160964e-07,8.099226310447436e-07,5.703506012552119e-06,0.00014258765031380298,0.0005703506012552119
0.027,8.282222783179483e-09,2.06989508557537e-07,8.276199226589567e-07,5.832394735724297e-06,0.00014580986839310748,0.0005832394735724299
0.027299999999999998,8.461186793795762e-09,2.1146068737769318e-07,8.454896907502752e-07,5.962723556362088e-06,0.00014906808890905222,0.0005962723556362089
0.0276,8.641876544859587e-09,2.159749154797328e-07,8.635311786375588e-07,6.094492474465488e-06,0.0001523623118616372,0.0006094492474465488
0.027899999999999998,8.824284518189116e-09,2.2053200466033224e-07,8.817436243740642e-07,6.2277014900345e-06,0.00015569253725086253,0.0006227701490034501
0.0282,9.008403222873139e-09,2.2513176549845012e-07,9.001262608717955e-07,6.362350603069123e-06,0.00015905876507672808,0.0006362350603069123
0.028499999999999998,9.19422512496385e-09,2.297740072767413e-07,9.186783158972119e-07,6.498439813569357e-06,0.00016246099533923393,0.0006498439813569357
0.0288,9.381742631700478e-09,2.3445853802334824e-07,9.373990122413915e-07,6.635969121535201e-06,0.00016589922803838007,0.0006635969121535203
0.0291,9.570948031929134e-09,2.3918516454901943e-07,9.56287567733464e-07,6.774938526966656e-06,0.00016937346317416645,0.0006774938526966658
0.0294,9.761833672984028e-09,2.4395369246257804e-07,9.753431952326142e-07,6.915348029863724e-06,0.00017288370074659314,0.0006915348029863725
0.0297,9.954391798747561e-09,2.4876392613269466e-07,9.945651028776896e-07,7.057197630226401e-06,0.00017642994075566006,0.0007057197630226402
0.03,1.0148614590281776e-08,2.5361566880674105e-07,1.01395249389558e-06,7.200487328054689e-06,0.00018001218320136728,0.0007200487328054691
0.0303,1.0344494246547035e-08,2.585087225426119e-07,1.0335045669516726e-06,7.345217123348589e-06,0.00018363042808371475,0.000734521712334859
0.030600000000000002,1.0542022830838223e-08,2.6344288813130824e-07,1.0532205159557495e-06,7.4913870161080995e-06,0.0001872846754027025,0.00074913870161081
0.0309,1.074119244954373e-08,2.684179654170085e-07,1.0730995303070104e-06,7.63899700633322e-06,0.00019097492515833054,0.0007638997006333222
0.031200000000000002,1.0941995106796369e-08,2.7343375304590483e-07,1.0931407948641923e-06,7.788047094023953e-06,0.00019470117735059887,0.0007788047094023955
