t,ex,red,th
0.426,0.004872411692127656,0.0006804172893468823,0.0006804172893468803
0.429,0.004963730776217212,0.0007467995988214277,0.0007467995988214261
0.432,0.005052712029377688,0.0008125098390644945,0.0008125098390644931
0.435,0.005139319618252956,0.0008774888752951722,0.0008774888752951693
0.438,0.005223519171483363,0.0009416782307668064,0.0009416782307668036
0.441,0.005305277510131669,0.001005020139392124,0.0010050201393921217
0.444,0.005384562394155464,0.001067457597728813,0.0010674575977288093
0.447,0.005461342289562924,0.0011289344162787726,0.0011289344162787693
0.44999999999999996,0.005535586160256874,0.0011893952700548682,0.001189395270054865
0.45299999999999996,0.005607263287856707,0.0012487857483696866,0.001248785748369684
0.45599999999999996,0.005676343122012215,0.0013070524038014816,0.0013070524038014792
0.45899999999999996,0.005742795162911455,0.0013641428002932458,0.001364142800293242
0.46199999999999997,0.005806588876860414,0.001420005560341623,0.001420005560341619
0.46499999999999997,0.0058676936449990145,0.0014745904112331923,0.0014745904112331888
0.46799999999999997,0.005926078744438203,0.0015278482302865184,0.0015278482302865139
0.471,0.005981713360376737,0.0015797310890592485,0.001579731089059244
0.474,0.006034566627102365,0.0016301922964804749,0.0016301922964804707
0.477,0.00608460769521547,0.0016791864408695477,0.0016791864408695438
0.48,0.006131805821946385,0.0017266694308035225,0.0017266694308035186
0.483,0.006176130481079633,0.0017725985347964643,0.0017725985347964593
0.486,0.006217551488754548,0.0018169324197549008,0.001816932419754896
0.489,0.0062560391412844725,0.001859631188174817,0.0018596311881748121
0.492,0.00629156436112434,0.0019006564140467154,0.0019006564140467098
0.495,0.006324098847214616,0.0019399711774364312,0.0019399711774364255
0.498,0.006353615226130113,0.00197754009771058,0.0019775400977105743
0.501,0.0063800872007554014,0.0020133293653767413,0.002013329365376735
0.504,0.006403489693580948,0.002047306772509719,0.002047306772509713
0.507,0.006423798982151919,0.002079441741736499,0.002079441741736493
0.51,0.006440992824688151,0.0021097053537538235,0.002109705353753817
0.513,0.00645505057441269,0.0021380703733536086,0.002138070373353602
0.516,0.006465953281660133,0.002164511273932796,0.0021645112739327893
0.519,0.006473683783367611,0.002189004260465572,0.0021890042604655645
0.522,0.00647822678006425,0.0022115272909172838,0.002211527290917277
0.525,0.006479568900953692,0.002232060096080784,0.002232060096080777
0.528,0.006477698758115148,0.0022505841978173484,0.002250584197817341
0.531,0.006472606991218837,0.002267082925685753,0.002267082925685745
0.534,0.006464286304452139,0.002281541431944547,0.002281541431944539
0.537,0.006452731497575194,0.0022939467049140176,0.00229394670491401
0.54,0.006437939493164322,0.002304287580685823,0.002304287580685815
0.543,0.006419909362155651,0.0023125547531697567,0.0023125547531697484
0.546,0.006398642349770121,0.0023187407824686005,0.002318740782468592
0.549,0.006374141903786901,0.00232284010157353,0.0023228401015735214
0.552,0.00634641370694047,0.0023248490213740466,0.0023248490213740383
0.555,0.0063154657149543676,0.002324765733977928,0.002324765733977919
0.558,0.006281308201400885,0.0023225903143382085,0.0023225903143382
0.561,0.006243953810201963,0.0023183247201857275,0.0023183247201857184
0.5640000000000001,0.006203417616174,0.0023119727902673037,0.0023119727902672946
0.5670000000000001,0.006159717193581753,0.0023035402408911206,0.0023035402408911115
0.5700000000000001,0.006112872692217114,0.0022930346607824377,0.0022930346607824286
0.5730000000000001,0.006062906920071798,0.0022804655042542466,0.002280465504254237
0.576,0.006009845431241849,0.0022658440826990303,0.0022658440826990216
0.579,0.005953716617299987,0.002249183554409272,0.0022491835544092634
0.582,0.005894551800010894,0.002230498912735881,0.002230498912735872
0.585,0.005832385322955907,0.0022098069725951875,0.0022098069725951792
0.588,0.005767254639386183,0.0021871263553366544,0.0021871263553366457
0.591,0.005699200393445271,0.0021624774719849185,0.0021624774719849094
0.594,0.005628266491798824,0.0021358825048712463,0.002135882504871238
0.597,0.005554500162684484,0.0021073653876709343,0.0021073653876709257
0.6,0.005477951999450609,0.0020769517838646148,0.0020769517838646057
0.6030000000000001,0.005398675985787927,0.0020446690636428564,0.0020446690636428465
0.606,0.005316729500070789,0.002010546279274841,0.0020105462792748318
0.6090000000000001,0.005232173296510069,0.0019746141389632805,0.0019746141389632714
0.612,0.005145071461171515,0.0019369049792091091,0.001936904979209101
0.6149999999999999,0.005055491341323632,0.0018974527357108134,0.0018974527357108065
0.618,0.004963503447038423,0.0018562929128245955,0.0018562929128245883
0.6209999999999999,0.004869181324466398,0.0018134625516128483,0.001813462551612842
0.624,0.004772601400732416,0.0017690001965096995,0.0017690001965096917
0.6269999999999999,0.004673842800939468,0.001722945860633623,0.0017229458606336163
0.63,0.004572987138311221,0.0016753409897783329,0.0016753409897783244
0.6329999999999999,0.004470118279038711,0.0016262284251143664,0.0016262284251143595
0.636,0.004365322083910289,0.0015756523646349228,0.0015756523646349157
0.6389999999999999,0.0042586861292854715,0.0015236583233806517,0.0015236583233806456
0.642,0.004150299410412269,0.0014702930924791894,0.0014702930924791833
0.6449999999999999,0.004040252030474571,0.0014156046970363024,0.0014156046970362976
0.648,0.003928634879083298,0.0013596423529165331,0.0013596423529165266
0.6509999999999999,0.003815539304185361,0.0013024564224522446,0.0013024564224522394
0.654,0.0037010567815532643,0.0012440983691209204,0.001244098369120913
0.6569999999999999,0.003585278586131604,0.0011846207112315079,0.001184620711231502
