t,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
0.144,8.480026133593472e-06,3.3687097462907216e-05,7.525151244637147e-05,0.00013277983490086098,0.00020585863695219493,0.0002940579205693608,0.0003969341863125682,0.0005140331271257187,0.000644891934973115,0.0007890412184086031,0.0233229032288611,0.0932916129154444,0.2099061290597499,0.3731664516617776,0.5830725807215273,0.8396245162389993,1.1428222582141938,1.4926658066471103,1.8891551615377487,2.3322903228861094
0.147,8.725992434581593e-06,3.466931563204834e-05,7.745636588086765e-05,0.00013668797448886645,0.00021194323836143573,0.0003027830162867762,0.0004087530601299687,0.0005293867603404672,0.0006642074960033836,0.0008127305905645879,0.024304813651256724,0.0972192546050269,0.2187433228613105,0.3888770184201076,0.607620341281418,0.8749732914452418,1.1909358689115794,1.5555080736804303,1.9686899057517944,2.430481365125672
0.15,8.973957039889807e-06,3.56602405264595e-05,7.968224025404878e-05,0.00014063570849245284,0.0002180926712242525,0.00031160499832346973,0.000420707602726322,0.0005449212496633509,0.0006837549684535057,0.0008367080705669217,0.02530696964937185,0.1012278785974874,0.22776272684434667,0.4049115143899496,0.6326742412342962,0.9110509073773865,1.2400415128192208,1.6196460575597984,2.0498645415991197,2.5306969649371847
0.153,9.22413089861433e-06,3.6660687790511825e-05,8.193088699669741e-05,0.000144625967637859,0.00022431118074312716,0.0003205294380585356,0.00043280459148568813,0.0005606443256367258,0.0007035426576928006,0.0008609820498977531,0.026329371223206475,0.1053174848928259,0.2369643410088583,0.4212699395713036,0.6582342805801618,0.9478573640354329,1.2901391899371173,1.6850797582852144,2.132679069079724,2.632937122320647
0.156,9.476723518248542e-06,3.76714560221048e-05,8.420399431067212e-05,0.00014866152791928825,0.00023060270876400346,0.00032956139012225056,0.0004450500064406622,0.0005765625771781102,0.0007235773294555449,0.0008855589449532231,0.027372018372760595,0.10948807349104238,0.2463481653548454,0.4379522939641695,0.6843004593190148,0.9853926614193813,1.341228900265269,1.751809175856678,2.217133488193608,2.7372018372760594
0.159,9.731939156090362e-06,3.8693312033821826e-05,8.650315565687894e-05,0.00015274495850772904,0.00023697082008626986,0.00033870529954102855,0.0004574489246384699,0.0005926813437570485,0.0007438641145563914,0.0009104431327320462,0.028434911098034213,0.11373964439213685,0.25591419988230796,0.4549585775685474,0.7108727774508553,1.0236567995292316,1.3933106438036766,1.8198343102741896,2.303227798940771,2.8434911098034212
0.162,9.98997319253548e-06,3.9726977113245335e-05,8.882984111494103e-05,0.00015687857584886314,0.00024341864003763164,0.0003479649271578687,0.0004700054417142822,0.0006090046453834288,0.0007644064631793352,0.0009356369482303639,0.02951804939902733,0.11807219759610932,0.265662444591246,0.4722887903844373,0.7379512349756832,1.0626497783649835,1.446384420552339,1.889155161537749,2.3909620013212134,2.9518049399027326
0.165,1.025100876712159e-05,4.07731145970626e-05,9.118537227156259e-05,0.00016106440499015783,0.00024994880466893354,0.0003573432947944847,0.00048272262188873543,0.0006255351508502348,0.0007852061477331275,0.0009611407402911967,0.030621433275739948,0.12248573310295979,0.27559289948165955,0.48994293241183917,0.7655358318934985,1.1023715979266377,1.5004502305112573,1.9597717296473567,2.4803360953349354,3.062143327573994
0.168,1.0515213752706338e-05,4.183231903620803e-05,9.357090119049595e-05,0.0001653041489459993,0.00025656342450146676,0.000366842650940771,0.0004956024766108251,0.0006422741833293357,0.0008062633115758959,0.0009869529806722408,0.031745062728172055,0.12698025091268822,0.2857055645535485,0.5079210036507529,0.7936265682043012,1.1428222582141938,1.5555080736804308,2.0316840146030115,2.5713500809819365,3.174506272817205
0.171,1.0782738134187756e-05,4.2905107184052896e-05,9.598739388723467e-05,0.00016959916664735172,0.0002632640623041667,0.00037646445705722276,0.0005086459710870392,0.0006592217611547266,0.0008275765594028309,0.0010130704194344583,0.03288893775632366,0.13155575102529465,0.296000439806913,0.5262230041011786,0.8222234439080915,1.1840017592276517,1.6115579500598596,2.1048920164047145,2.664003958262217,3.288893775632366
0.174,1.1053711845072358e-05,4.399191098077465e-05,9.843561858678468e-05,0.00017395045973745416,0.0002700517249082867,0.00038620939388633017,0.0005218530570192728,0.0006763766705046495,0.0008491430838333338,0.0010394882784820426,0.03405305836019476,0.13621223344077904,0.30647752524175287,0.5448489337631162,0.8513264590048688,1.225910100967011,1.6685998596495433,2.1793957350524646,2.7582977271757754,3.4053058360194752
0.177,1.1328243102481299e-05,4.5093072645339014e-05,0.00010091613888842043,0.0001783586681871872,0.0002769268686109294,0.00039607738652917964,0.0005352227290632591,0.0006937365657645145,0.000870958821778731,0.0010662004742422718,0.03523742453978536,0.14094969815914143,0.31713682085806827,0.5637987926365657,0.8809356134946339,1.2685472834322729,1.726633802449483,2.255195170546263,2.8542313877226144,3.5237424539785356
0.18,1.1606417264277428e-05,4.620884191902114e-05,0.00010342931180341423,0.00018282407442311353,0.00028388941729463657,0.0004060676464793664,0.0005487531018494859,0.0007112980926471847,0.0008930186335437011,0.0010931998600671449,0.036442036295095466,0.14576814518038186,0.3279783266558592,0.5830725807215275,0.9110509073773865,1.3119133066234365,1.7856597784596777,2.33229032288611,2.9518049399027326,3.644203629509546
0.183,1.1888296217206382e-05,4.733937543666391e-05,0.00010597529048259359,0.00018734661540373466,0.0002909387920198993,0.0004161787283431538,0.00056244150390512,0.0007290570286906634,0.0009153164973192351,0.0011204784789517106,0.03766689362612506,0.15066757450450025,0.33900204263512557,0.602670298018001,0.9416723406531263,1.356008170540502,1.845677787680128,2.410681192072004,3.05101838371613,3.7666893626125053
0.186,1.2173918287483095e-05,4.848473813959402e-05,0.00010855403131098017,0.00019192590185419944,0.0002980739505450063,0.00042640859862861784,0.0005762845844895219,0.0007470084355409785,0.0009378457117484853,0.0011480278175543235,0.03891199653287416,0.15564798613149664,0.35020796879586746,0.6225919445259865,0.9727999133218538,1.4008318751834694,1.9066878301108339,2.490367778103946,3.1518717191628065,3.891199653287415
0.189,1.2463298650535746e-05,4.964490658293882e-05,0.00011116530492761302,0.00019656124368712486,0.00030529343500044733,0.0004367547137642639,0.0005902784292111023,0.00076514681745503,0.0009605990995561301,0.001175839053215173,0.04017734501534276,0.16070938006137103,0.36159610513808477,0.6428375202454841,1.0044336253835686,1.4463844205523388,1.9686899057517948,2.5713500809819365,3.2543649462427626,4.0177345015342745
0.192,1.2756430203190486e-05,5.081977394276495e-05,0.00011380871063205826,0.00020125168050245953,0.00031259542580392043,0.00044721410441043535,0.0006044186803158954,0.0007834662806962398,0.0009835692057842869,0.001203903286630665,0.04146293907353084,0.16585175629412335,0.37316645166177764,0.6634070251764934,1.0365734768382708,1.4926658066471101,2.0316840146030115,2.6536281007059737,3.3584980649559975,4.146293907353083
0.195,1.3053284848282387e-05,5.200915648526298e-05,0.00011648369356779506,0.00020599601597352864,0.00031997779984015086,0.000457783463147703,0.0006187006577181771,0.0008019606889146603,0.0010067484849218477,0.0012322117539830635,0.042768778707438435,0.17107511482975374,0.384919008366946,0.684300459319015,1.0692194676859605,1.5396760334677833,2.0956701566644833,2.73720183727606,3.4642710753025128,4.276877870743842
0.198,1.3353815134265439e-05,5.321280123338155e-05,0.00011918956402885383,0.00021079285489281847,0.0003274381909457924,0.00046845923275454514,0.0006331194771495877,0.000820623810163828,0.0010301294720926647,0.0012607560135703088,0.04409486391706552,0.17637945566826208,0.3968537752535897,0.7055178226730483,1.1023715979266377,1.5874151010143582,2.1606483319362106,2.822071290692193,3.5716839772823064,4.409486391706551
0.201,1.3657956183573012e-05,5.443039454646356e-05,0.00012192551821912273,0.00021564064166246425,0.0003349740508286127,0.000479237692503329,0.0006476701622141368,0.0008394494518683405,0.0010537049344291416,0.0012895281032689263,0.045441194702412105,0.18176477880964842,0.408970752321709,0.7270591152385937,1.1360298675603024,1.6358830092868355,2.226618540418193,2.9082364609543747,3.68073677089538,4.54411947024121
