t,a1,a2,a3,b1,b2,b3
47.190000000000005,-0.013526974775582248,-7.51699705924481e-05,-0.019075476094875747,-0.012155434065843396,-0.0465700865150043,0.05958963378745306
47.22,-0.0047586420542747,-0.0057635775301016715,-0.01804517526813118,-0.0030653167798910417,-0.05169855108969083,0.056903829209888165
47.25,0.004111744493349256,-0.011348835216137469,-0.016764788375985967,0.00609062341365821,-0.055909087541598686,0.0533992291031225
47.28000000000001,0.012893756806885075,-0.016732616562555123,-0.015252375099074445,0.015115776947637822,-0.05912693613878709,0.04912626154798824
47.31,0.021398866261654215,-0.02182017168009018,-0.013529206056569997,0.02381634269486509,-0.061294962712890706,0.04414641075001501
47.34,0.029444490923572493,-0.026521994763412722,-0.011619463706602613,0.032005489545753746,-0.06237467309876651,0.03853133233635627
47.37,0.036857915094524296,-0.030755398765184926,-0.009549903021281864,0.03950736831564542,-0.06234689661354696,0.032361822294998295
47.4,0.043479997006096276,-0.034445969534075735,-0.0073494766970703,0.04616088783239338,-0.061212126439659766,0.025726654392300295
47.43000000000001,0.04916858506848419,-0.03752887384437864,-0.005048930150087063,0.05182317411859402,-0.05899051086817974,0.01872130279739396
47.46,0.05380156933897691,-0.0399499983252812,-0.002680371961234207,0.05637263838791087,-0.055721495557990566,0.011446568293742068
47.49,0.05727950270628385,-0.041666899282375415,-0.0002768257721219637,0.059711587975044514,-0.05146312316258578,0.00400712784545089
47.52,0.05952773552495946,-0.042649546740003264,0.0021282301149751657,0.06176832413369036,-0.04629100275991082,-0.003489971611211924
47.55,0.060498017879950336,-0.04288084966164879,0.004501329014900748,0.06249868165553783,-0.04029696738342489,-0.010936853478092548
47.580000000000005,0.06016953509059192,-0.04235695316283669,0.0068094815213748695,0.061886977249388915,-0.03358744349044712,-0.01822636374352337
47.61000000000001,0.05854935423083619,-0.0410873025488809,0.009020634073866104,0.05994634631543019,-0.0262815613185181,-0.02525361283331804
47.64,0.05567227208688398,-0.0390944731175447,0.011104114055749913,0.05671846088295523,-0.018509039681143584,-0.03191748487852368
47.67,0.05160006782327492,-0.03641376879186514,0.013031055243548207,0.05227263476838553,-0.010407882759204271,-0.03812209268290865
47.699999999999996,0.04642017640799426,-0.03309259671840606,0.01477479770647291,0.04670433516892921,-0.0021219297824068145,-0.04377815745449682
47.730000000000004,0.040243811281941655,-0.02918962890938187,0.016311256616758182,0.04013313265308715,0.006201698892853712,-0.04880429344803783
47.760000000000005,0.03320357658123231,-0.024773765754034185,0.017619254869255935,0.03270013356877035,0.01441521396332714,-0.05312817903354985
47.79,0.025450620178456354,-0.019922919709418355,0.018680814917317455,0.024564950004068515,0.022372781236156224,-0.05668759734029938
47.82,0.017151388665981586,-0.014722640642079125,0.01948140580394595,0.01590227236604691,0.029933110972370124,-0.05943133150227601
47.85,0.008484053949057107,-0.00926460707438289,0.020010141994559503,0.006898118176108152,0.03696196654181046,-0.06131990162337546
47.88,-0.00036531183456182134,-0.0036450099436460587,0.02025993129166903,-0.0022541623667991146,0.04333454784733438,-0.06232613285801687
47.910000000000004,-0.009206730949798226,0.0020371426326836,0.02022756982292709,-0.011358038280810737,0.04893770719965971,-0.06243554643301914
47.940000000000005,-0.017850398496592458,0.00768176970973227,0.019913782832409525,-0.020218017998140728,0.05367195829912234,-0.06164656798427901
47.97,-0.026110757083818673,0.013189480253448214,0.01932321076035213,-0.02864384724227516,0.05745324265408381,-0.059970550210471325
48.0,-0.033810480270917875,0.01846332321721092,0.0184643408583514,-0.036454594442486256,0.06021442207253522,-0.05743160951780475
48.03000000000001,-0.04078427926296521,0.023410494141614356,0.017349385344645984,-0.04348253595774776,0.061906470727121424,-0.05406627900636986
48.06,-0.04688245114024023,0.027943968236820244,0.015994107846985718,-0.049576757680914144,0.06249934562800196,-0.04992298279129749
48.09,-0.05197409245299272,0.03198403121025116,0.014417600598446361,-0.054606395684318784,0.06198252004796035,-0.045061339222778864
48.12,-0.055949909196836733,0.03545968091145005,0.012642015534394743,-0.0584634463189699,0.060365170428589104,-0.03955130303099193
48.15,-0.05872456284979995,0.038309875148670666,0.010692253077185142,-0.06106508542483722,0.05767601344895743,-0.03347215873970624
48.18000000000001,-0.0602385021124586,0.04048460374784256,0.008595612980232755,-0.062355446850797504,0.05396279614967172,-0.026911379832449806
48.21,-0.060459241033957445,0.04194576602602189,0.006381412126776056,-0.06230682209329094,0.049291448165376645,-0.019963370086822918
48.24,-0.05938205609200217,0.04266783828356388,0.00408057463367915,-0.06092025529331505,0.043744911118142646,-0.012728105188039652
48.27,-0.057030087268961374,0.042638319621499304,0.0017251999907737484,-0.05822552081512167,0.03742166595632081,-0.005309694167670723
48.3,-0.05345384096122768,0.04185794829769192,-0.0006518847337186977,-0.05428048388807955,0.030433984386543492,0.0021851186327941697
48.330000000000005,-0.04873010540028197,0.04034068487843035,-0.003017582375307995,-0.04916985804092365,0.022905935445383767,0.009648489518151629
48.36000000000001,-0.04296030187580445,0.038113462549931504,-0.005338986467811889,-0.04300338601055687,0.014971182604778326,0.016973027214412732
48.39,-0.036268307162939176,0.03521570905444192,-0.007583838935422136,-0.03591348318755693,0.006770610524474283,0.024053338133792023
48.42,-0.02879779390743511,0.03169864873602005,-0.009720978316714937,-0.028052394201728732,-0.001550176410555843,0.030787542894767463
48.449999999999996,-0.02070914607017515,0.027624397050886727,-0.011720772293007175,-0.019588923705602692,-0.009843439353278164,0.0370787422758355
48.480000000000004,-0.012176015654432229,0.023064863548341044,-0.013555528517926282,-0.010704811557215718,-0.01796192815597546,0.04283641150918956
48.510000000000005,-0.0033815946392487554,0.018100482696423517,-0.015199878052839757,-0.0015908302394837606,-0.025761495854576513,0.047977702851675186
48.54,0.00548531784466395,0.01281879495253212,-0.016631126099516755,0.007557311681988346,-0.03310365805473841,0.052428637690183244
48.57,0.014234368665378945,0.007312903109875439,-0.01782956518161105,0.016543172095791238,-0.03985805177677456,0.05612517102814432
48.6,0.022677737153296337,0.0016798311397659101,-0.01877874645378604,0.025173793633349987,-0.045904750101669,0.0590141130361095
48.63,0.030634167150381364,-0.003981185541105492,-0.01946570540414739,0.033263847128133656,-0.051136391520725855,0.06105389440612381
48.660000000000004,0.037932858086888066,-0.009570448250072632,-0.01988113885388359,0.04063961127109697,-0.055460086181412994,0.062215164497123124
48.690000000000005,0.04441713155473487,-0.0149895508679449,-0.02001953083870793,0.04714270300544669,-0.05879906518325453,0.06248121366457371
48.72,0.04994779466725499,-0.02014311239610749,-0.019879225670334934,0.05263347855631024,-0.06109404363987442,0.06184821369740646
48.75,0.05440612800527258,-0.02494045573768682,-0.01946244721284692,0.056994032063487216,-0.06230427330548821,0.06032527290257184
48.78000000000001,0.057696434009577524,-0.029297203155056486,-0.01877526415814194,0.060130727426311883,-0.06240826607604517,0.05793430504459788
48.81,0.05974809111683492,-0.03313676033187726,-0.017827501836261236,0.06197620899319831,-0.06140417551897324,0.05470971402599438
48.84,0.06051706954716461,-0.03639166293769816,-0.01663260183981434,0.062490847919439235,-0.05930982965731613,0.050697898845672204
