t,e,b,l
1.3019999999999998,0.03730989443867121,0.2096323493379312,0.017832944932432954
1.3050000000000002,0.03709947207766415,0.20887902966930322,0.017768861749615086
1.308,0.03689052518449777,0.2081284170758235,0.01770500885149421
1.311,0.03668305710379667,0.20738050182954224,0.017641385410535868
1.3139999999999998,0.03647706625092825,0.2066352742374673,0.017577990602179364
1.317,0.03627254652870615,0.20589272464143876,0.017514823604827104
1.32,0.03606948788234153,0.2051528434180033,0.017451883599833903
1.323,0.03586787693838632,0.2044156209782901,0.017389169771496432
1.3259999999999998,0.035667697678322244,0.20368104776788598,0.0173266813070426
1.329,0.03546893210485981,0.20294911426671178,0.017264417396621018
1.332,0.03527156086735364,0.20221981098889905,0.01720237723329054
1.335,0.03507556382102005,0.20149312848266726,0.01714056001300979
1.3379999999999999,0.03488092050238889,0.20076905733020084,0.01707896493462672
1.341,0.03468761051054913,0.20004758814752757,0.017017591199868256
1.344,0.034495613790325425,0.1993287115843966,0.016956438013329925
1.347,0.034304910819670395,0.19861241832415785,0.016895504582465592
1.3499999999999999,0.03411548270926687,0.1978986990836405,0.01683479011757713
1.353,0.0339273112274152,0.19718754461303323,0.016774293831804225
1.356,0.03374037876735491,0.19647894569576405,0.016714014941114158
1.359,0.03355466827674391,0.19577289314838126,0.01665395266429168
1.3619999999999999,0.03337016316963565,0.19506937782043385,0.016594106222928832
1.365,0.033186847239746395,0.19436839059435335,0.016534474841414896
1.368,0.03300470459024418,0.1936699223853354,0.016475057746926328
1.371,0.03282371959029783,0.19297396414122242,0.01641585416941677
1.3739999999999999,0.03264387686308598,0.1922805068423857,0.016356863341607013
1.377,0.032465161304828516,0.191589541501609,0.01629808449897511
1.3800000000000001,0.032287558130453156,0.1909010591639717,0.016239516879746424
1.383,0.03211105293915702,0.1902150509067333,0.01618115972488381
1.386,0.031935631792332435,0.18953150783921702,0.016123012278077716
1.389,0.03176128129672793,0.18885042110269515,0.016065073785736413
1.392,0.031587988686752534,0.18817178187027409,0.016007343496976235
1.395,0.031415741900960616,0.1874955813467798,0.01594982066361182
1.398,0.031244529648614187,0.18682181076864418,0.015892504540146464
1.401,0.03107434146269599,0.18615046140379102,0.01583539438376239
1.404,0.030905167735944553,0.18548152455152317,0.015778489454311175
1.407,0.030736999736679864,0.18481499154240957,0.015721789014304127
1.41,0.030569829601669773,0.18415085373817328,0.015665292328902767
1.413,0.030403650304273604,0.18348910253157896,0.015608998665909257
1.416,0.030238455597636896,0.1828297293463217,0.01555290729575693
1.419,0.030074239934663342,0.1821727256369157,0.01549701749150084
1.422,0.02991099836857313,0.1815180828885839,0.015441328528808357
1.425,0.02974872643972703,0.180865792617147,0.015385839685949736
1.428,0.02958742005573201,0.18021584636891394,0.015330550243788798
1.431,0.029427075372440204,0.1795682357205722,0.015275459485773588
1.434,0.02926768868323864,0.17892295227907887,0.015220566697927132
1.437,0.029109256323039137,0.17827998768155143,0.01516587116883812
1.44,0.028951774591752865,0.17763933359515968,0.01511137218965173
1.443,0.02879523969990392,0.17700098171701764,0.015057069054060422
1.446,0.028639647736579076,0.17636492377407617,0.01500296105829481
1.449,0.028484994657311347,0.17573115152301536,0.01494904750111451
1.452,0.028331276287001946,0.17509965675013794,0.01489532768379906
1.455,0.02817848833091831,0.1744704312712628,0.014841800910138873
1.458,0.028026626385529673,0.17384346693161903,0.014788466486426228
1.461,0.027875685940790734,0.17321875560573993,0.014735323721446238
1.464,0.027725662366665134,0.172596289197358,0.014682371926467925
1.4669999999999999,0.027576550879197213,0.17197605963929985,0.014629610415235283
1.47,0.02742834648502259,0.17135805889338168,0.014577038503958384
1.473,0.02728104390736643,0.1707422789503053,0.014524655511304538
1.476,0.02713463750066484,0.17012871182955397,0.014472460758389415
1.4789999999999999,0.026989121164298517,0.1695173495792892,0.01442045356876829
1.482,0.026844488267985092,0.16890818427624762,0.01436863326842725
1.485,0.026700731601802072,0.1683012080256385,0.014316999185774488
1.488,0.026557843362528023,0.16769641296104107,0.014265550651631568
1.4909999999999999,0.02641581518519144,0.16709379124430285,0.014214286999224767
